"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"478",13,207,"Monroe","37,942","21",3.4,"86"
"479",13,209,"Montgomery","25,577","142",-0.6,"142"
"480",13,211,"Morgan","41,919","11",4.5,"29"
"481",13,213,"Murray","26,057","137",4.1,"51"
"482",13,215,"Muscogee","38,400","18",4.5,"27"
"483",13,217,"Newton","28,920","108",3.6,"78"
"484",13,219,"Oconee","50,679","3",3.4,"85"
"485",13,221,"Oglethorpe","32,459","52",5.1,"14"
"486",13,223,"Paulding","31,713","67",4.4,"32"
"487",13,225,"Peach","32,760","47",2.4,"110"
"488",13,227,"Pickens","39,730","15",3.6,"77"
"489",13,229,"Pierce","30,771","80",1.7,"122"
"490",13,231,"Pike","32,819","45",4.1,"47"
"491",13,233,"Polk","28,366","115",4.4,"31"
"492",13,235,"Pulaski","25,591","141",0.2,"136"
"493",13,237,"Putnam","33,978","32",5.4,"11"
"494",13,239,"Quitman","25,888","139",3.8,"65"
"495",13,241,"Rabun","33,638","35",3,"100"
"496",13,243,"Randolph","32,429","55",-3.7,"153"
"497",13,245,"Richmond","32,549","50",2.9,"102"
"498",13,247,"Rockdale","31,440","71",3.8,"66"
"499",13,249,"Schley","25,887","140",2.6,"106"
"500",13,251,"Screven","28,003","119",3,"98"
"501",13,253,"Seminole","31,016","75",-1.9,"149"
"502",13,255,"Spalding","30,264","88",3.7,"75"
"503",13,257,"Stephens","34,121","30",5.5,"10"
"504",13,259,"Stewart","23,070","154",-3.4,"152"
"505",13,261,"Sumter","29,745","97",1.2,"130"
"506",13,263,"Talbot","29,746","96",4.5,"30"
"507",13,265,"Taliaferro","26,127","136",9.4,"1"
"508",13,267,"Tattnall","28,371","114",3.3,"89"
"509",13,269,"Taylor","25,385","143",3.1,"97"
"510",13,271,"Telfair","18,443","158",5.1,"12"
"511",13,273,"Terrell","38,307","20",-0.2,"140"
"512",13,275,"Thomas","36,983","23",1.8,"121"
"513",13,277,"Tift","32,964","42",3.8,"63"
"514",13,279,"Toombs","31,801","62",1.6,"123"
"515",13,281,"Towns","30,739","81",1.5,"124"
"516",13,283,"Treutlen","25,226","144",1.9,"116"
"517",13,285,"Troup","33,267","38",3.8,"71"
"518",13,287,"Turner","31,630","68",-3,"150"
"519",13,289,"Twiggs","31,104","74",3.1,"95"
"520",13,291,"Union","33,044","41",3.6,"79"
"521",13,293,"Upson","30,815","79",4.7,"19"
"522",13,295,"Walker","28,266","116",3.8,"72"
"523",13,297,"Walton","32,767","46",4.3,"41"
